,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
F,0.01472133137818283,0.0015475404513568187,0.0010574881126129232,0.002165944527495919,0.0007086873740029661,-0.0003910784333323825,0.0017241968617169264,0.004618483618068391,0.0019656278479965096,0.0035738778163526483,0.001562035903974726,0.002103983155842097,0.001281861043041482,0.0003209573447363043,0.0022384268827486398,0.0007798894124189519,0.001086733354878662,0.001222020906138785,0.0017677425346481997,-0.00020338223182087727
CAT,0.0015475404513568187,0.004283051191081579,0.0008616991146183778,0.0012503267659507203,0.0004969155588197106,-0.00010372547825437688,-0.0001611959525758896,0.00033682904741537975,-0.0008271580729012701,-0.00023613068758155588,0.003674795379136345,0.0009834961761827537,0.0011807494522938287,-0.00026091844385904334,0.0017430140614945653,0.002795025637799481,9.678131767414957e-05,0.0019096182436241066,0.0016393681955254947,0.0014421891332355183
DIS,0.0010574881126129232,0.0008616991146183778,0.0019533731880787813,0.0009129361626304181,0.0005041600841734424,0.00033781698738191853,0.0001726771400366176,0.0004993757826872752,-0.0005154078854528273,-0.0004226077288334761,0.0014096651950374246,0.0009378910068930927,0.0001687205138054441,0.0002727811397429689,0.000244402662567731,0.0006566568858364377,0.00026378597163567865,0.000796581554386703,0.000725262957453808,-0.0010177470557927286
MCD,0.002165944527495919,0.0012503267659507203,0.0009129361626304181,0.0026257688798813853,0.0010139010004313015,0.000560035605792775,0.0001547018977584791,0.0011434519502600837,0.00028151640334847923,0.000908995059026952,0.00407473084908068,0.0013975813308056122,0.000632574975060674,0.0005379915836582159,0.0012754764040823808,0.0014552072909866174,0.0007584805015414368,0.0010921074686779946,0.0011377421602884678,6.731616042568015e-05
KO,0.0007086873740029661,0.0004969155588197106,0.0005041600841734424,0.0010139010004313015,0.0012343419321590053,0.0007084120827621901,6.927631915549554e-07,0.0005748996803467281,0.00026435808273880595,0.0007300466977134309,0.0011763629473329966,0.0004750712215502436,0.0003679895796049238,0.0005186153492747178,0.000583405461503836,0.0003519736442267055,0.0004336832720609396,0.0007768483199815014,0.0006244781817485527,-0.0006541534992592899
PEP,-0.0003910784333323825,-0.00010372547825437688,0.00033781698738191853,0.000560035605792775,0.0007084120827621901,0.001304468853088924,-0.00015653572920426632,0.0005745110887212388,0.0004827755825474558,0.0007244361340688053,0.0008486864398562238,3.531625260012542e-05,0.0002830466251951257,0.0006767890973401809,-0.0001489136963648235,-0.00025570463689541086,0.000508069824163179,0.00037323877705244135,0.00039667608400369267,-0.001172330390385514
WMT,0.0017241968617169264,-0.0001611959525758896,0.0001726771400366176,0.0001547018977584791,6.927631915549554e-07,-0.00015653572920426632,0.001959694978283877,0.00028165914720866217,0.0005599562963882371,0.0009855056565592555,-0.0005819182471251077,0.0004633210658099289,-0.0007104404302194539,0.00023196262632595386,-0.0008377281994666342,-0.0019785131768954222,-0.00020994787046429742,2.8371881832166462e-05,7.827954050193122e-05,-0.0012505939656954875
C,0.004618483618068391,0.00033682904741537975,0.0004993757826872752,0.0011434519502600837,0.0005748996803467281,0.0005745110887212388,0.00028165914720866217,0.006352344940221033,0.003721074307540244,0.004287993967803959,0.0008541682638414859,0.000991065526880198,0.0011762508246405095,0.0006867286345077522,0.0005380656735552793,-0.0006969042228459119,0.0009068904857825467,0.0010813055053141977,0.0011914692100236065,-0.001137794285330758
WFC,0.0019656278479965096,-0.0008271580729012701,-0.0005154078854528273,0.00028151640334847923,0.00026435808273880595,0.0004827755825474558,0.0005599562963882371,0.003721074307540244,0.005303999947481687,0.0047282867876039265,-0.0024962271820358575,0.0005560806354891817,0.0013443551825136253,0.0004340647903420696,-0.0010656296490101315,-0.002649338736671619,0.000527399290543776,-0.00034393721654828733,-0.000262489375274408,-0.001544819602268882
JPM,0.0035738778163526483,-0.00023613068758155588,-0.0004226077288334761,0.000908995059026952,0.0007300466977134309,0.0007244361340688053,0.0009855056565592555,0.004287993967803959,0.0047282867876039265,0.005799692232642318,-0.0005979821469007989,0.0006762444076591068,0.001251743835076875,0.0006398633891939453,-0.0005441810428709489,-0.0024038804850518027,0.0006104264331048146,0.0005242628420659638,0.0004780322479776255,-0.0011678713835612032
AAPL,0.001562035903974726,0.003674795379136345,0.0014096651950374246,0.00407473084908068,0.0011763629473329966,0.0008486864398562238,-0.0005819182471251077,0.0008541682638414859,-0.0024962271820358575,-0.0005979821469007989,0.01662664151715717,0.0022678801443355725,0.0008309504785456039,0.0006259992312455263,0.003989451085003219,0.005465009623443131,0.0011465604012398966,0.0034544299930584443,0.0028667069231525667,0.0025676300551239458
IBM,0.002103983155842097,0.0009834961761827537,0.0009378910068930927,0.0013975813308056122,0.0004750712215502436,3.531625260012542e-05,0.0004633210658099289,0.000991065526880198,0.0005560806354891817,0.0006762444076591068,0.0022678801443355725,0.0032530324435256215,-0.00013245084214504372,0.0003527454659978733,0.0006590344378283185,0.0008633203299073448,-2.631215801235851e-05,0.0009972884615504429,0.0009192307199460566,8.73981486811359e-05
PFE,0.001281861043041482,0.0011807494522938287,0.0001687205138054441,0.000632574975060674,0.0003679895796049238,0.0002830466251951257,-0.0007104404302194539,0.0011762508246405095,0.0013443551825136253,0.001251743835076875,0.0008309504785456039,-0.00013245084214504372,0.003286480102123401,0.00023396401155978506,0.0010419404130133031,0.0014691055627789164,0.0006614404654061175,0.0008517833941041002,0.0008864695535218474,0.0009110650548524987
JNJ,0.0003209573447363043,-0.00026091844385904334,0.0002727811397429689,0.0005379915836582159,0.0005186153492747178,0.0006767890973401809,0.00023196262632595386,0.0006867286345077522,0.0004340647903420696,0.0006398633891939453,0.0006259992312455263,0.0003527454659978733,0.00023396401155978506,0.000979493750456801,0.0001393341091554687,-0.00040306971379770604,0.00032234509115080623,0.00030151394448770793,0.00032978435148597906,-0.0008597298315264488
