,2008-10-31
F,-0.578846221873874
CAT,-0.35259556274204995
DIS,-0.1557510668776919
MCD,-0.06110223573705331
KO,-0.16679273152746488
PEP,-0.20008483127896914
WMT,-0.06812480524564446
C,-0.32611924783398927
WFC,-0.09272589857286329
JPM,-0.10988717478872201
AAPL,-0.05340491509910794
IBM,-0.20511303958104266
PFE,-0.03958801874583806
JNJ,-0.11460717862111325
XOM,-0.04558319500897878
MRO,-0.2701278588692593
ED,0.008379535211603173
T,-0.026054131900791866
VZ,-0.05944518685491296
NEM,-0.32043328991085474
